Institution,Engaged2024,Engaged2025,Engaged2026,EverEngaged,LatestEngagementYear
Raffles University (RU),FALSE,FALSE,FALSE,FALSE,Never
Universiti Metropolitan Asia (Asia Metropolitan University),FALSE,FALSE,FALSE,FALSE,Never
Universiti Melaka (UNIMEL) (University of Melaka),FALSE,FALSE,FALSE,FALSE,Never
MILA University,TRUE,TRUE,TRUE,TRUE,2026
Universiti Antarabangsa INTI (INTI International University),TRUE,TRUE,TRUE,TRUE,2026
Universiti Nilai (Nilai University),FALSE,FALSE,FALSE,FALSE,Never
Universiti KPJ Healthcare (KPJ Healthcare University),FALSE,FALSE,FALSE,FALSE,Never
"Enforcement, Leadership and Management University (ELMU)",FALSE,FALSE,FALSE,FALSE,Never
Politeknik Metro Johor Bahru (PMJB),FALSE,FALSE,FALSE,FALSE,Never
Newcastle University Medicine Malaysia (NUMed),FALSE,FALSE,FALSE,FALSE,Never
University of Reading Malaysia,FALSE,FALSE,FALSE,FALSE,Never
University of Southampton Malaysia (UoSM),TRUE,TRUE,TRUE,TRUE,2026
Kolej Universiti Selatan (Southern University College),FALSE,FALSE,FALSE,FALSE,Never
Netherlands Maritime University College (NMUC),FALSE,FALSE,FALSE,FALSE,Never
Kolej Universiti Islam Johor Sultan Ibrahim (KUIJSI),FALSE,FALSE,FALSE,FALSE,Never
Kolej Universiti Manipal Malaysia (Manipal University College Malaysia) (MUCM),FALSE,FALSE,FALSE,FALSE,Never
Kolej Universiti Agrosains Malaysia (University College of Agroscience Malaysia),FALSE,FALSE,FALSE,FALSE,Never
Kolej Universiti Antarabangsa Putra,FALSE,FALSE,FALSE,FALSE,Never
Kolej Universiti Linton (Linton University College),FALSE,FALSE,FALSE,FALSE,Never
Institut Akauntan KTC Cawangan Johor Bahru,FALSE,FALSE,FALSE,FALSE,Never
Institut Citipro,FALSE,FALSE,FALSE,FALSE,Never
Kolej Omega,FALSE,FALSE,FALSE,FALSE,Never
Institut Sains & Teknologi Darul Takzim (INSTEDT),FALSE,FALSE,FALSE,FALSE,Never
Institut Teknologi A.N.S Johor Bahru,FALSE,FALSE,FALSE,FALSE,Never
Kolej KPJ Healthcare Johor Bahru (KPJ Healthcare College Johor Bahru),FALSE,FALSE,FALSE,FALSE,Never
Kolej UNITAR Johor Bharu (UNITAR College Johor Bharu),FALSE,FALSE,FALSE,FALSE,Never
Kolej Internasional Crescendo,FALSE,FALSE,FALSE,FALSE,Never
Kolej Antarabangsa MDIS Malaysia (MDIS Malaysia International College),FALSE,FALSE,FALSE,FALSE,Never
Kolej Metropoint,FALSE,FALSE,FALSE,FALSE,Never
Kolej Poly-Tech Mara Batu Pahat,FALSE,FALSE,FALSE,FALSE,Never
Kolej Veritas Johor Bahru,FALSE,FALSE,FALSE,FALSE,Never
Kolej Yayasan Pelajaran Johor,FALSE,FALSE,FALSE,FALSE,Never
Kolej Sunway Johor Bahru (Sunway College Johor Bahru),TRUE,TRUE,TRUE,TRUE,2026
Kolej Antarabangsa EduCity,FALSE,FALSE,FALSE,FALSE,Never
Kolej MSU Johor Bahru (MSU College Johor Bahru),FALSE,FALSE,FALSE,FALSE,Never
Kolej Sunway TES (JB) (Sunway TES College (JB)),FALSE,FALSE,FALSE,FALSE,Never
Akademi Laut Malaysia (ALAM),FALSE,FALSE,FALSE,FALSE,Never
Kolej Antarabangsa Dunia Melayu Dunia Islam (KADMI),FALSE,FALSE,FALSE,FALSE,Never
Kolej Antarabangsa Yayasan Melaka (International College of Yayasan Melaka),TRUE,TRUE,TRUE,TRUE,2026
Kolej UNITAR Melaka (UNITAR College Melaka),FALSE,FALSE,FALSE,FALSE,Never
Kolej Kejururawatan Dan Sains Kesihatan Oriental Nilam (Oriental Nilam College Of Nursing And Health Sciences),FALSE,FALSE,FALSE,FALSE,Never
Kolej Perniagaan KYS (KYS Business School),FALSE,FALSE,FALSE,FALSE,Never
Kolej Perubatan Antarabangsa Melaka,FALSE,FALSE,FALSE,FALSE,Never
Kolej Stamford Melaka,FALSE,FALSE,FALSE,FALSE,Never
Kolej Antarabangsa Sains dan Teknologi Melaka,FALSE,FALSE,FALSE,FALSE,Never
Institut Antarabangsa Sains Mantin (International Institute of Science Mantin),FALSE,FALSE,FALSE,FALSE,Never
Institut Jati,FALSE,FALSE,FALSE,FALSE,Never
Institut Pengajian Global,FALSE,FALSE,FALSE,FALSE,Never
Kolej Antarabangsa Murni (Murni International College),FALSE,FALSE,FALSE,FALSE,Never
Kolej Antarabangsa Timur Barat (East West International College),FALSE,FALSE,FALSE,FALSE,Never
Kolej Antarabangsa Unifield (Unifield International College),FALSE,FALSE,FALSE,FALSE,Never
Kolej MSU Seremban,FALSE,FALSE,FALSE,FALSE,Never
Kolej Negeri Kampus Chedang (Kolej Negeri Chedang Campus),FALSE,FALSE,FALSE,FALSE,Never
Kolej Perkapalan dan Penerbangan (Shipping and Aviation College),FALSE,FALSE,FALSE,FALSE,Never
Kolej TAFE Seremban,FALSE,FALSE,FALSE,FALSE,Never
Kolej UNITI,FALSE,FALSE,FALSE,FALSE,Never
Kolej Meatech (Meatech College),FALSE,FALSE,FALSE,FALSE,Never
Kolej Teknologi Timur Mantin,FALSE,FALSE,FALSE,FALSE,Never
Kolej Profesional dan Pengurusan KLIA,FALSE,FALSE,FALSE,FALSE,Never
Universiti Teknologi MARA (UiTM) Pasir Gudang,TRUE,TRUE,TRUE,TRUE,2026
Universiti Teknologi MARA (UiTM) Segamat,TRUE,TRUE,TRUE,TRUE,2026
Universiti Teknologi MARA (UiTM) Bandaraya Melaka,TRUE,TRUE,TRUE,TRUE,2026
Universiti Teknologi MARA (UiTM) Lendu,TRUE,TRUE,TRUE,TRUE,2026
Universiti Teknologi MARA (UiTM) Kuala Pilah,FALSE,FALSE,FALSE,FALSE,Never
Universiti Teknologi MARA (UiTM) Seremban 3,FALSE,FALSE,FALSE,FALSE,Never
Universiti Teknologi Malaysia (UTM),TRUE,TRUE,TRUE,TRUE,2026
Universiti Teknikal Malaysia Melaka (UTeM),TRUE,TRUE,TRUE,TRUE,2026
Universiti Tun Hussein Onn Malaysia (UTHM),TRUE,TRUE,TRUE,TRUE,2026
Politeknik Port Dickson (PPD),TRUE,TRUE,TRUE,TRUE,2026
Politeknik Mersing Johor (PMJ),FALSE,FALSE,FALSE,FALSE,Never
Politeknik Merlimau Melaka (PMM),FALSE,FALSE,FALSE,FALSE,Never
Politeknik Melaka (PMK),FALSE,FALSE,FALSE,FALSE,Never
Politeknik Ibrahim Sultan (PIS),FALSE,FALSE,FALSE,FALSE,Never
Kolej Kemahiran Tinggi MARA Masjid Tanah,FALSE,FALSE,FALSE,FALSE,Never
Kolej Kemahiran Tinggi MARA Sri Gading,FALSE,FALSE,FALSE,FALSE,Never
Kolej Kemahiran Tinggi MARA Rembau,TRUE,TRUE,TRUE,TRUE,2026
Kolej Kemahiran Tinggi MARA Ledang,TRUE,TRUE,TRUE,TRUE,2026
Advanced Technology Training Centre JTM Tangkak,FALSE,FALSE,FALSE,FALSE,Never
Advanced Technology Training Centre JTM Pedas,FALSE,FALSE,FALSE,FALSE,Never
Advanced Technology Training Centre JTM Bukit Katil,FALSE,FALSE,FALSE,FALSE,Never
Advanced Technology Training Centre JTM Pasir Gudang,FALSE,TRUE,FALSE,TRUE,2025
Advanced Technology Training Centre JTM Mersing,FALSE,FALSE,FALSE,FALSE,Never
Institut Kemahiran MARA Johor Bahru,FALSE,FALSE,FALSE,FALSE,Never
Institut Kemahiran MARA Jasin,TRUE,TRUE,TRUE,TRUE,2026
