Institution,Category,Region,State
Raffles University (RU),IPTS,Southern,Johor
Universiti Metropolitan Asia (Asia Metropolitan University),IPTS,Southern,Johor
Universiti Melaka (UNIMEL) (University of Melaka),IPTS,Southern,Melaka
MILA University,IPTS,Southern,Negeri Sembilan
Universiti Antarabangsa INTI (INTI International University),IPTS,Southern,Negeri Sembilan
Universiti Nilai (Nilai University),IPTS,Southern,Negeri Sembilan
Universiti KPJ Healthcare (KPJ Healthcare University),IPTS,Southern,Negeri Sembilan
"Enforcement, Leadership and Management University (ELMU)",IPTS,Southern,Negeri Sembilan
Politeknik Metro Johor Bahru (PMJB),TVET,Southern,Johor
Newcastle University Medicine Malaysia (NUMed),IPTS,Southern,Johor
University of Reading Malaysia,IPTS,Southern,Johor
University of Southampton Malaysia (UoSM),IPTS,Southern,Johor
Kolej Universiti Selatan (Southern University College),IPTS,Southern,Johor
Netherlands Maritime University College (NMUC),IPTS,Southern,Johor
Kolej Universiti Islam Johor Sultan Ibrahim (KUIJSI),IPTS,Southern,Johor
Kolej Universiti Manipal Malaysia (Manipal University College Malaysia) (MUCM),IPTS,Southern,Melaka
Kolej Universiti Agrosains Malaysia (University College of Agroscience Malaysia),IPTS,Southern,Melaka
Kolej Universiti Antarabangsa Putra,IPTS,Southern,Melaka
Kolej Universiti Linton (Linton University College),IPTS,Southern,Negeri Sembilan
Institut Akauntan KTC Cawangan Johor Bahru,IPTS,Southern,Johor
Institut Citipro,IPTS,Southern,Johor
Kolej Omega,IPTS,Southern,Johor
Institut Sains & Teknologi Darul Takzim (INSTEDT),IPTS,Southern,Johor
Institut Teknologi A.N.S Johor Bahru,IPTS,Southern,Johor
Kolej KPJ Healthcare Johor Bahru (KPJ Healthcare College Johor Bahru),IPTS,Southern,Johor
Kolej UNITAR Johor Bharu (UNITAR College Johor Bharu),IPTS,Southern,Johor
Kolej Internasional Crescendo,IPTS,Southern,Johor
Kolej Antarabangsa MDIS Malaysia (MDIS Malaysia International College),IPTS,Southern,Johor
Kolej Metropoint,IPTS,Southern,Johor
Kolej Poly-Tech Mara Batu Pahat,IPTS,Southern,Johor
Kolej Veritas Johor Bahru,IPTS,Southern,Johor
Kolej Yayasan Pelajaran Johor,IPTS,Southern,Johor
Kolej Sunway Johor Bahru (Sunway College Johor Bahru),IPTS,Southern,Johor
Kolej Antarabangsa EduCity,IPTS,Southern,Johor
Kolej MSU Johor Bahru (MSU College Johor Bahru),IPTS,Southern,Johor
Kolej Sunway TES (JB) (Sunway TES College (JB)),IPTS,Southern,Johor
Akademi Laut Malaysia (ALAM),IPTS,Southern,Melaka
Kolej Antarabangsa Dunia Melayu Dunia Islam (KADMI),IPTS,Southern,Melaka
Kolej Antarabangsa Yayasan Melaka (International College of Yayasan Melaka),IPTS,Southern,Melaka
Kolej UNITAR Melaka (UNITAR College Melaka),IPTS,Southern,Melaka
Kolej Kejururawatan Dan Sains Kesihatan Oriental Nilam (Oriental Nilam College Of Nursing And Health Sciences),IPTS,Southern,Melaka
Kolej Perniagaan KYS (KYS Business School),IPTS,Southern,Melaka
Kolej Perubatan Antarabangsa Melaka,IPTS,Southern,Melaka
Kolej Stamford Melaka,IPTS,Southern,Melaka
Kolej Antarabangsa Sains dan Teknologi Melaka,IPTS,Southern,Melaka
Institut Antarabangsa Sains Mantin (International Institute of Science Mantin),IPTS,Southern,Negeri Sembilan
Institut Jati,IPTS,Southern,Negeri Sembilan
Institut Pengajian Global,IPTS,Southern,Negeri Sembilan
Kolej Antarabangsa Murni (Murni International College),IPTS,Southern,Negeri Sembilan
Kolej Antarabangsa Timur Barat (East West International College),IPTS,Southern,Negeri Sembilan
Kolej Antarabangsa Unifield (Unifield International College),IPTS,Southern,Negeri Sembilan
Kolej MSU Seremban,IPTS,Southern,Negeri Sembilan
Kolej Negeri Kampus Chedang (Kolej Negeri Chedang Campus),IPTS,Southern,Negeri Sembilan
Kolej Perkapalan dan Penerbangan (Shipping and Aviation College),IPTS,Southern,Negeri Sembilan
Kolej TAFE Seremban,IPTS,Southern,Negeri Sembilan
Kolej UNITI,IPTS,Southern,Negeri Sembilan
Kolej Meatech (Meatech College),IPTS,Southern,Negeri Sembilan
Kolej Teknologi Timur Mantin,IPTS,Southern,Negeri Sembilan
Kolej Profesional dan Pengurusan KLIA,IPTS,Southern,Negeri Sembilan
Universiti Teknologi MARA (UiTM) Pasir Gudang,IPTA,Southern,Johor
Universiti Teknologi MARA (UiTM) Segamat,IPTA,Southern,Johor
Universiti Teknologi MARA (UiTM) Bandaraya Melaka,IPTA,Southern,Melaka
Universiti Teknologi MARA (UiTM) Lendu,IPTA,Southern,Melaka
Universiti Teknologi MARA (UiTM) Kuala Pilah,IPTA,Southern,Negeri Sembilan
Universiti Teknologi MARA (UiTM) Seremban 3,IPTA,Southern,Negeri Sembilan
Universiti Teknologi Malaysia (UTM),IPTA,Southern,Melaka
Universiti Teknikal Malaysia Melaka (UTeM),IPTA,Southern,Melaka
Universiti Tun Hussein Onn Malaysia (UTHM),IPTA,Southern,Johor
Politeknik Port Dickson (PPD),TVET,Southern,Negeri Sembilan
Politeknik Mersing Johor (PMJ),TVET,Southern,Johor
Politeknik Merlimau Melaka (PMM),TVET,Southern,Melaka
Politeknik Melaka (PMK),TVET,Southern,Melaka
Politeknik Ibrahim Sultan (PIS),TVET,Southern,Johor
Kolej Kemahiran Tinggi MARA Masjid Tanah,TVET,Southern,Melaka
Kolej Kemahiran Tinggi MARA Sri Gading,TVET,Southern,Johor
Kolej Kemahiran Tinggi MARA Rembau,TVET,Southern,Negeri Sembilan
Kolej Kemahiran Tinggi MARA Ledang,TVET,Southern,Johor
Advanced Technology Training Centre JTM Tangkak,TVET,Southern,Johor
Advanced Technology Training Centre JTM Pedas,TVET,Southern,Negeri Sembilan
Advanced Technology Training Centre JTM Bukit Katil,TVET,Southern,Melaka
Advanced Technology Training Centre JTM Pasir Gudang,TVET,Southern,Johor
Advanced Technology Training Centre JTM Mersing,TVET,Southern,Johor
Institut Kemahiran MARA Johor Bahru,TVET,Southern,Johor
Institut Kemahiran MARA Jasin,TVET,Southern,Melaka
Advanced Technology Training Centre JTM Batu Pahat,TVET,Southern,Johor
Advanced Technology Training Centre JTM Proton Institute (Melaka),TVET,Southern,Melaka
Politeknik Nilai (PNS),TVET,Southern,Negeri Sembilan
Politeknik Tun Syed Nasir (PTSN),TVET,Southern,Johor
Universiti Sains Islam Malaysia (USIM),IPTA,Central,Selangor
International Islamic University Malaysia (IIUM) Pagoh,IPTA,Central,Selangor
Asia e University (AeU),IPTS,Central,Selangor
Binary University of Management and Entrepreneurship (BUME),IPTS,Central,Selangor
City University,IPTS,Central,Selangor
Malaysia University of Science and Technology (MUST),IPTS,Central,Selangor
Universiti MISI (MISI University),IPTS,Central,Selangor
Management and Science University (MSU),IPTS,Central,Selangor
Politeknik Banting (PBS),TVET,Central,Selangor
Putra Business School (PBS),IPTS,Central,Selangor
Sunway University,IPTS,Central,Selangor
UNITAR International University,IPTS,Central,Selangor
Universiti Infrastruktur Kuala Lumpur,IPTS,Central,Selangor
Universiti Islam Malaysia,IPTS,Central,Selangor
Universiti MAHSA (MAHSA University),IPTS,Central,Selangor
"Universiti Multimedia, Kampus Cyberjaya",IPTS,Central,Selangor
Universiti SEGi (SEGi University),IPTS,Central,Selangor
Universiti Taylor’s (Taylor’s University),IPTS,Central,Selangor
Universiti Teknologi Kreatif Limkokwing (LUCT),IPTS,Central,Selangor
Universiti Tenaga Nasional Kampus Putrajaya,IPTS,Central,Selangor
Universiti Terbuka Malaysia (UNITEM) (Open Universiti Malaysia (OUM)),IPTS,Central,Selangor
University Malaysia of Computer Science and Engineering (UNIMY),IPTS,Central,Selangor
Universiti Cyberjaya (University of Cyberjaya (UoC)),IPTS,Central,Selangor
Universiti Keusahawanan Koperasi Malaysia (Malaysian Cooperative Entrepreneurship University),IPTS,Central,Selangor
Universiti Islam Selangor (UIS),IPTS,Central,Selangor
University of Wollongong Malaysia,IPTS,Central,Selangor
Al-Madinah International University (MEDIU),IPTS,Central,W.P. Kuala Lumpur
Asia Pacific University of Technology and Innovation,IPTS,Central,W.P. Kuala Lumpur
Asia School Of Business (ASB),IPTS,Central,W.P. Kuala Lumpur
INCEIF University,IPTS,Central,W.P. Kuala Lumpur
IMU University,IPTS,Central,W.P. Kuala Lumpur
Universiti Malaya-Wales (UM-WALES),IPTS,Central,W.P. Kuala Lumpur
Meritus University,IPTS,Central,W.P. Kuala Lumpur
Universiti HELP,IPTS,Central,W.P. Kuala Lumpur
Universiti Kuala Lumpur (UniKL),IPTS,Central,W.P. Kuala Lumpur
Universiti Tun Abdul Razak (UNIRAZAK),IPTS,Central,W.P. Kuala Lumpur
Universiti UCSI (UCSI University),IPTS,Central,W.P. Kuala Lumpur
Universiti Geomatika Malaysia (University of Geomatika Malaysia),IPTS,Central,W.P. Kuala Lumpur
Tunku Abdul Rahman University of Management and Technology (TAR UMT),IPTS,Central,W.P. Kuala Lumpur
Universiti Poly-Tech Malaysia (UPTM),IPTS,Central,W.P. Kuala Lumpur
Universiti Manipal GlobalNxt (Manipal GlobalNxt University),IPTS,Central,W.P. Kuala Lumpur
Monash University Malaysia,IPTS,Central,Selangor
University of Nottingham Malaysia (UNM),IPTS,Central,Selangor
Universiti Xiamen Malaysia (Xiamen University Malaysia),IPTS,Central,Selangor
"University of Tsukuba, Malaysia",IPTS,Central,W.P. Kuala Lumpur
Heriot-Watt University Malaysia,IPTS,Central,W.P. Putrajaya
First City University College,IPTS,Central,Selangor
Kolej Universiti Fairview,IPTS,Central,Selangor
Kolej Universiti Lincoln,IPTS,Central,Selangor
Kolej Universiti New Era (New Era University College),IPTS,Central,Selangor
Kolej Universiti Saito,IPTS,Central,Selangor
Kolej Universiti Genovasi (Genovasi University College),IPTS,Central,Selangor
University College of Aviation Malaysia (UniCAM),IPTS,Central,Selangor
Kolej Universiti Inovatif (Innovative University College),IPTS,Central,Selangor
Kolej Universiti Antarabangsa Spektrum (Spectrum International University College),IPTS,Central,Selangor
Kolej Universiti Antarabangsa Pengurusan dan Sukan (International University College of Management and Sports),IPTS,Central,Selangor
Kolej Universiti BERJAYA (BERJAYA University College),IPTS,Central,W.P. Kuala Lumpur
Kuala Lumpur Metropolitan University College (KLMUC),IPTS,Central,W.P. Kuala Lumpur
Kolej Universiti Veritas (Veritas University College),IPTS,Central,W.P. Kuala Lumpur
Kolej Universiti Kings (Kings University College),IPTS,Central,W.P. Kuala Lumpur
Akademi City (City Academy),IPTS,Central,Selangor
Akademi Pertama Rekabentuk dan Komunikasi,IPTS,Central,Selangor
Kolej Asia Perubatan Senaman  (Asia College of Excercise Medicine),IPTS,Central,Selangor
German Malaysian Institute (GMI),IPTS,Central,Selangor
Institut EU,IPTS,Central,Selangor
Kolej Alpine,IPTS,Central,Selangor
Institut Makanan Malaysia,IPTS,Central,Selangor
Institut Nasional Sains Oftalmik (National Institute of Ophthalmic Sciences),IPTS,Central,Selangor
Kolej Antarabangsa Imperia (International College Imperia),IPTS,Central,Selangor
"Institute of Physical Science, Culture & Arts (IPSCA)",IPTS,Central,Selangor
INTEC Education College,IPTS,Central,Selangor
Kolej Peninsula Shah Alam (Peninsula College Shah Alam),IPTS,Central,Selangor
Kolej Antarabangsa INTI Subang (INTI International College Subang),IPTS,Central,Selangor
Kolej Antarabangsa Optima,IPTS,Central,Selangor
Kolej Antarabangsa Restu (Restu International College),IPTS,Central,Selangor
Kolej Antarabangsa Westminster,IPTS,Central,Selangor
Kolej ASA (ASA College),IPTS,Central,Selangor
Kolej Pengajian Keselamatan dan Penyiasatan Malaysia (Malaysian,IPTS,Central,Selangor
Kolej Consist,IPTS,Central,Selangor
Kolej Dar Al-Hikmah,IPTS,Central,Selangor
Kolej Antarabangsa Despark (Despark International College),IPTS,Central,Selangor
Kolej Dika (Dika College),IPTS,Central,Selangor
Kolej DOMA (DOMA College),IPTS,Central,Selangor
Kolej Antarabangsa Seni Kreatif Teknologi,IPTS,Central,Selangor
Kolej Hafiz,IPTS,Central,Selangor
"Kolej IACT (Pengiklanan, Komunikasi dan Teknologi Antarabangsa)",IPTS,Central,Selangor
Kolej iCOOP (iCOOP College),IPTS,Central,Selangor
