KPI ID,KPI Target
MySIP,"15,000"
LiKES,"5,000"
1:3 Policy,"8,000"
MyNext Registration,"100,000"
YES-No of Programmes,5
YES-No of Talent Benefitted,"100,000"
No of Faculty Engaged,500
No of Campus Ambassador,120
No of IAC Initiatives,5
MyNext Mobility-No of Talent Benefitted,250
MyNext Talent-No of Internship Application,"30,000"
MyNext University-No of Institutions Onboarded,50
MySIP-No of Endorsed Company,650
LiKES-No of Registered Internship Placement,"5,000"
LiKES-No of New Endorsed Company,500
1:3 Policy-No Internship Placement Created,"1,000"
No of Company Engaged,"3,500"
No of Internship Postings in MyNext,500
